map_file,startposition,algo
map_random_1.json,0,0
map_random_1.json,1,0
map_random_1.json,2,0
map_random_1.json,3,0
map_random_1.json,4,0
map_random_2.json,0,0
map_random_2.json,1,0
map_random_2.json,2,0
map_random_2.json,3,0
map_random_2.json,4,0
map_random_3.json,0,0
map_random_3.json,1,0
map_random_3.json,2,0
map_random_3.json,3,0
map_random_3.json,4,0
map_californien.json,0,0
map_californien.json,1,0
map_californien.json,2,0
map_californien.json,3,0
map_californien.json,4,0
map_elk_fire_Colorado.json,0,0
map_elk_fire_Colorado.json,1,0
map_elk_fire_Colorado.json,2,0
map_elk_fire_Colorado.json,3,0
map_elk_fire_Colorado.json,4,0
map_havel.json,0,0
map_havel.json,1,0
map_havel.json,2,0
map_havel.json,3,0
map_havel.json,4,0
map_Kreta_1.json,0,0
map_Kreta_1.json,1,0
map_Kreta_1.json,2,0
map_Kreta_1.json,3,0
map_Kreta_1.json,4,0
map_Kreta_2.json,0,0
map_Kreta_2.json,1,0
map_Kreta_2.json,2,0
map_Kreta_2.json,3,0
map_Kreta_2.json,4,0
map_lee_fire_Colorado.json,0,0
map_lee_fire_Colorado.json,1,0
map_lee_fire_Colorado.json,2,0
map_lee_fire_Colorado.json,3,0
map_lee_fire_Colorado.json,4,0
map_Missen_Wilhams.json,0,0
map_Missen_Wilhams.json,1,0
map_Missen_Wilhams.json,2,0
map_Missen_Wilhams.json,3,0
map_Missen_Wilhams.json,4,0